1571995980,3,20,2,"CA,C7,CK,C2;S3,S2,S7,S4;S10,S5,S9,S8;C3,HQ,C5,C4;H7,S6,SJ,SA;C8,H9,C6,C10;CJ,H5,C9,CQ;D2,D5,D6,D4;H2,H4,H3,HK;D3,D8,SQ,D9;D7,DQ,SK,DJ;D10,DK,HA,HJ;H6,DA,H10,H8"
1571995980,3,2,2,"C3,C10,C2,CA;S2,S4,S5,S3;S7,S6,SJ,S10;SA,SK,C5,C4;HA,H6,C6,CQ;D4,D2,DJ,D9;HK,H4,C7,SQ;HQ,DA,C8,HJ;H9,D10,C9,H10;H2,D7,CJ,H8;D8,D6,CK,H7;S9,D5,H3,DK;S8,D3,H5,DQ"
1571995980,3,8,2,"CK,CQ,C9,C2;S2,S8,SA,S4;SQ,C8,C3,C7;SK,C10,C4,CA;D6,D5,D2,D7;D10,DQ,D3,D9;HK,DA,D4,HA;S3,S9,H5,S5;S6,SJ,DK,S7;H10,CJ,C5,HQ;H6,H2,DJ,H8;H7,H3,D8,H9;S10,H4,C6,HJ"
1571995980,3,1,2,"C6,CQ,C2,CA;S9,S7,S3,S2;S10,SK,HA,S4;SQ,C9,C3,C5;HJ,C10,C4,C7;H7,CJ,C8,CK;D3,D7,D2,D8;SJ,SA,HQ,S5;D4,DK,D5,H10;D6,DA,D9,H8;H5,H4,H3,H2;D10,HK,DQ,S8;DJ,H9,H6,S6"
1571995980,3,15,2,"CQ,CA,C2,CJ;S7,S2,S3,S5;S10,S8,S4,S6;C5,C3,C7,C4;HK,S9,SJ,SQ;H10,C6,C9,C10;D2,SK,D8,D4;H8,C8,CK,H6;D3,HA,D9,D5;DJ,H9,D10,D6;DK,H7,SA,D7;DA,H4,HQ,DQ;H3,H2,HJ,H5"
1571995980,3,1,2,"C8,CA,C2,CK;S4,S2,S3,S8;S6,S7,S5,S9;SA,SQ,HJ,S10;C3,C5,C4,CQ;DA,D5,D3,D2;D6,D9,D4,D10;D7,HQ,D8,DJ;HA,H7,DK,DQ;HK,C6,C7,SK;H10,C10,C9,H9;H4,CJ,H8,H2;H3,H5,H6,SJ"
1571995980,3,14,2,"C9,C2,CJ,CA;S6,S3,S2,S4;S8,S5,S7,SQ;C4,CQ,C6,C3;C8,CK,C7,C5;D5,D2,D4,D6;DQ,D3,D8,DJ;SJ,HJ,S9,SA;SK,D7,D9,DA;HK,H5,H4,H2;H7,H10,H6,H3;HQ,D10,C10,HA;H8,DK,S10,H9"
1571995980,3,0,2,"C2,CQ,C9,CA;S8,S5,S3,S2;C7,C4,C3,CK;SK,S6,S4,S10;C8,C6,C5,SA;C10,CJ,HK,HJ;H7,S7,SJ,H8;D2,D5,D4,DJ;D3,D8,DA,D6;DK,H6,H2,H3;DQ,S9,HQ,H5;D9,HA,H9,H4;D7,SQ,H10,D10"
1571995980,3,5,2,"C2,C5,CK,CQ;S5,S3,SJ,S2;C3,SK,C4,C7;S6,S7,SQ,S4;D9,D3,D2,D7;S8,S9,HA,H10;SA,D10,D4,DK;HK,DJ,D5,DA;C6,H8,HQ,C9;C8,H3,H7,C10;CA,H2,H5,CJ;H6,DQ,D8,H4;HJ,S10,D6,H9"
1571995980,3,4,2,"C2,C9,CQ,CA;S5,S4,S9,S2;S6,SA,S10,S3;C7,C3,C4,C5;S7,HK,SQ,SJ;D9,D4,D2,D6;DJ,D5,D3,D7;S8,H10,HA,HQ;SK,H9,H5,H8;CJ,C6,H2,C8;CK,H4,DA,C10;H6,H3,DQ,H7;HJ,D10,D8,DK"
1571995980,3,26,2,"C9,C2,CK,CA;S5,S3,S6,S2;S7,S4,S9,S10;C7,C3,C5,C4;D4,D2,D9,D3;SQ,CJ,C10,C6;D5,DA,D10,D6;HA,S8,HQ,HK;H9,SJ,HJ,H7;H8,SK,H4,H5;H2,SA,H3,DJ;DQ,H6,DK,D7;D8,H10,CQ,C8"
1571995980,3,13,2,"CJ,C7,C2,CA;S2,S7,S9,S6;S3,S8,S10,SQ;D2,D4,D3,D7;D6,D5,D8,D10;D9,DJ,DA,DQ;S4,SK,SJ,H9;H7,H2,H4,H6;S5,HK,SA,DK;C4,HJ,C5,C3;C6,H8,CK,C8;H10,H3,HQ,CQ;C10,H5,HA,C9"
