1571999021,2,21,1,"CK,C9,C10,C2;S7,S4,S2,S3;C5,C4,C3,C6;SA,SK,S9,S5;CQ,HK,C7,CJ;D2,D5,D4,DA;H9,HQ,S10,S6;H4,HJ,SJ,S8;DK,H5,C8,CA;DJ,H3,H2,H6;D10,D9,HA,H7;D3,D7,DQ,H10;D6,D8,SQ,H8"
1571999021,2,7,1,"C2,CA,CK,CJ;S3,S2,S7,S4;S8,S6,S9,S5;SA,SQ,SJ,S10;C7,C4,C3,C5;D8,D3,D2,D4;D9,DA,D6,D5;D10,DJ,SK,D7;HA,DQ,HK,DK;H2,H5,H3,H4;HQ,C6,C9,H10;H9,C8,C10,H8;H6,CQ,HJ,H7"
1571999021,2,0,1,"CJ,CA,CK,C2;S7,S9,S5,S2;S8,SJ,S6,S3;C4,C5,C10,C3;H10,SQ,S10,S4;D2,D6,D4,D7;D3,SA,D5,DJ;D9,HA,D8,DK;C7,C6,SK,C9;H9,C8,H8,CQ;H3,H6,H4,H2;DA,HJ,H5,H7;DQ,HK,D10,HQ"
1571999021,2,8,1,"C2,CK,C9,CA;S7,S2,S3,S6;SJ,S8,S4,S9;C6,C4,C3,C8;SA,C5,C7,C10;HA,CJ,SK,CQ;D2,D7,D3,D9;D4,D8,DQ,D10;H9,S10,S5,SQ;H3,H4,H5,H2;D5,DK,DA,HK;DJ,H7,H6,H8;D6,HJ,HQ,H10"
1571999021,2,0,1,"C9,CK,C2,CQ;S4,S9,S5,S2;C3,C6,CA,C8;S6,SA,SJ,S3;C4,C10,H10,SQ;C5,CJ,H9,SK;D8,D3,D2,D6;C7,HA,H8,HJ;DJ,D5,D4,D9;DQ,DA,D7,D10;H7,H6,H2,H4;S8,HK,H3,S7;S10,HQ,DK,H5"
1571999021,2,14,1,"CQ,C10,CK,C2;S3,S5,S2,S4;S7,S6,HA,S8;S10,S9,HK,SJ;C8,SA,C3,C5;C9,HQ,C4,C7;D8,D2,D4,D9;H10,H9,C6,CA;DJ,D3,DA,DK;H8,D10,CJ,SQ;H3,D7,H2,H4;H5,D6,H7,SK;DQ,D5,H6,HJ"
1571999021,2,26,1,"CJ,CA,CQ,C2;S4,S3,S2,S7;C3,C5,C9,C4;S6,S9,S5,SA;C6,C7,C10,CK;D4,D3,D2,D5;D9,DK,D8,D6;H10,H2,H3,H5;C8,HA,SK,H9;DJ,HJ,HQ,D7;DQ,H7,SJ,D10;SQ,H6,S8,H8;HK,H4,S10,DA"
1571999021,2,0,1,"CK,CA,C2,C9;S2,S4,S3,S5;S8,SJ,S6,S7;C6,C3,CQ,C4;S10,H10,S9,SK;C8,C5,CJ,C7;D3,D2,D6,D5;D8,D4,D7,DJ;SQ,H8,HK,SA;H5,H6,H3,H2;HA,C10,HQ,H9;DK,D10,D9,H7;DA,DQ,HJ,H4"
1571999021,2,0,1,"C9,CQ,C2,CK;S9,S2,S5,S3;C3,C5,C8,C6;SK,S7,S10,S4;C4,C7,CA,CJ;D2,DJ,D3,D4;SA,S8,SQ,S6;D5,DA,D6,D9;D7,DK,D8,DQ;HK,SJ,HA,HQ;H6,C10,H9,HJ;H5,H7,H4,H2;D10,H10,H8,H3"
1571999021,2,26,1,"CJ,C2,CA,CQ;S7,S8,S2,S3;SJ,S10,S4,S5;C3,CK,C7,C5;D4,D2,D3,D6;SQ,SK,HQ,S6;D10,D5,D9,D7;DQ,DK,H10,D8;HA,DA,H9,DJ;H8,SA,H6,S9;H4,H7,H2,H3;C6,HJ,H5,C10;C4,HK,C9,C8"
