1571996520,2,26,2,"CA,C5,C2,CQ;S4,S5,S2,S3;S10,S7,SA,S6;C8,SK,C3,C7;SJ,S9,HK,S8;CJ,H5,C4,C10;CK,H3,C6,HA;D7,D2,D5,D4;D9,D3,H10,D6;DA,DJ,H8,D8;SQ,H2,H7,H9;HJ,DK,H6,H4;HQ,DQ,C9,D10"
1571996520,2,14,2,"C2,CA,C10,CQ;S5,S2,SQ,S3;C3,HJ,C5,C4;C7,H7,C6,C9;C8,H6,HA,CJ;D10,D6,D3,D2;S6,S4,HQ,S10;SA,D9,D4,D5;HK,DJ,D7,DA;S8,S7,H10,SK;H8,H2,H4,H3;SJ,S9,DQ,H9;CK,DK,D8,H5"
1571996520,2,9,2,"C2,CQ,CA,C10;S9,S4,S5,S2;C8,C7,C3,C4;CJ,HQ,C6,C5;CK,H8,C9,SA;D7,D2,D4,D3;DJ,D6,D5,D8;DA,DQ,D9,SK;SQ,S6,S8,S3;H6,H3,HA,H2;H10,DK,D10,HK;H9,S7,S10,HJ;H7,H4,SJ,H5"
1571996520,2,17,2,"CK,C10,C9,C2;S8,S4,S2,S3;S10,SK,S5,S6;C6,C3,C5,C7;HK,HA,SJ,S7;CJ,C4,C8,CA;HQ,HJ,SQ,S9;D4,D7,D2,DK;H10,H8,H6,CQ;DA,D10,D3,D8;DJ,H5,D5,D9;DQ,H4,D6,SA;H9,H3,H2,H7"
1571996520,2,21,2,"C2,C8,CQ,CA;S3,S6,S10,S2;S9,S7,SJ,S4;CK,C3,C10,C6;D6,D4,D3,D2;D7,SA,D5,DQ;SQ,S8,SK,S5;D8,HJ,D10,HQ;D9,H6,DJ,H8;H2,H3,H7,H4;HK,C7,H9,H5;DK,C5,HA,CJ;DA,C4,H10,C9"
1571996520,2,0,2,"CK,C10,C2,CA;S4,S3,S5,S2;S6,HQ,S7,S10;S9,H10,S8,SJ;C3,C6,C5,C9;C4,C7,C8,CJ;SQ,H8,SK,CQ;D2,D3,D4,D5;D9,D10,DQ,D6;H6,H2,H5,HJ;DK,DJ,HA,D7;DA,H4,HK,D8;H9,H3,H7,SA"
1571996520,2,15,2,"C2,CJ,CA,CQ;S4,S2,S3,S8;S7,S6,S5,S9;H7,SJ,SQ,S10;D3,DQ,D5,D2;H4,SA,SK,HQ;C4,C8,C5,C3;H2,C9,C7,C6;DA,C10,CK,HJ;D4,HA,D6,D7;D8,HK,D10,DK;DJ,H8,H3,H5;D9,H9,H6,H10"
1571996520,2,24,2,"CA,CK,C2,CJ;S5,S2,S4,S6;S9,S3,S7,SJ;C5,C7,C3,C6;SK,S8,S10,HA;C8,HK,C4,C9;D4,D2,DJ,D3;C10,HQ,CQ,HJ;H8,H9,SA,H10;H3,H6,SQ,H7;DA,D8,H2,DQ;DK,D6,H4,D10;D9,D5,H5,D7"
1571996520,2,2,2,"CK,CA,CJ,C2;S6,S5,S3,S2;C6,C3,C4,CQ;H10,S8,S4,S9;H8,HK,S7,S10;H7,HQ,SK,SJ;C9,C8,C5,SQ;D6,D2,D3,D4;D7,DK,D5,D8;H4,C10,C7,HA;H3,H6,H2,H5;DA,H9,SA,DQ;DJ,HJ,D9,D10"
1571996520,2,24,2,"C2,CK,CA,CQ;S4,S3,S2,S8;HA,S6,S5,S10;C4,C3,C10,C5;HJ,S9,S7,SA;C7,HK,CJ,C6;H5,HQ,SJ,H10;D3,D2,D9,D4;DA,H9,SK,H3;D10,H6,SQ,H2;D7,DK,H4,D8;C9,DQ,H7,D6;C8,DJ,H8,D5"
1571996520,2,26,2,"C9,CA,C2,CJ;S3,S5,S6,S2;SK,S9,S7,S4;C3,C8,C4,SA;HK,SJ,S8,S10;C6,C10,C5,HA;HQ,CQ,C7,HJ;H5,CK,H6,H10;D6,D3,D2,D4;D7,D5,D8,DA;H3,H8,DK,H2;DJ,SQ,DQ,H7;D9,H9,D10,H4"
1571996520,2,1,2,"SA,CA,C2,CJ;S4,S2,S5,S3;S6,S9,S7,S10;SQ,C5,C3,C6;SK,C7,C4,C10;DA,D7,D5,D2;D8,DJ,D6,D3;HJ,D10,DK,D4;H9,C9,C8,HQ;H2,H3,H4,H7;H5,HA,H6,D9;SJ,HK,CK,DQ;S8,H10,CQ,H8"
1571996520,2,21,2,"CA,CQ,CK,C2;S4,S3,S2,S5;S7,S8,S9,S6;C4,C3,C5,SQ;C9,C6,C8,SK;D3,D4,D2,D6;HQ,D5,D7,D10;HJ,DJ,D8,DQ;S10,SA,H2,SJ;H9,DA,D9,HA;H6,C7,C10,HK;H5,H8,DK,H10;H4,H3,CJ,H7"
1571996520,2,10,2,"CK,CJ,CA,C2;S4,S5,S3,S2;S8,S10,S6,SK;C5,C6,HA,C3;SQ,SJ,S7,H2;D7,DK,D2,D4;D10,DJ,D3,D5;C7,C8,H10,C4;H3,H4,H6,DA;SA,HK,D9,D6;H9,HQ,DQ,D8;H8,HJ,S9,CQ;C9,H5,H7,C10"
1571996520,2,13,2,"C2,CK,C10,CA;SK,S2,S6,S4;C8,SQ,C3,C4;D3,D2,D10,D8;SA,H3,C6,C5;D4,D5,DK,H10;D9,D6,DA,H5;HJ,S3,S9,S8;H2,DJ,H7,CQ;H4,D7,H8,CJ;H6,SJ,HQ,C9;H9,S7,HK,C7;DQ,S5,HA,S10"
1571996520,2,1,2,"CA,CK,CQ,C2;S4,S6,S3,S2;C7,C3,H10,C8;S8,HQ,SJ,S5;D2,D3,D5,DQ;S10,H9,H7,S7;CJ,C4,H5,C9;D6,D4,D7,D10;SQ,H8,H3,S9;DA,DK,D8,SA;H4,H6,H2,HJ;HA,C6,DJ,SK;HK,C5,D9,C10"
1571996520,2,11,2,"CQ,C3,C2,CK;SQ,S4,S2,S3;D3,D2,D4,D5;D8,D9,D6,DK;HA,S6,S7,S5;C5,H10,CA,C4;HQ,DQ,D7,SA;H7,DA,D10,SK;H6,S8,S10,HJ;C10,H8,DJ,H5;C9,H3,H4,H2;C7,SJ,H9,CJ;C6,S9,HK,C8"
1571996520,2,16,2,"C7,C2,CA,CK;S4,S3,S2,S9;C5,C6,C8,C3;S8,S5,S6,HA;D4,D3,D2,D5;SQ,HQ,C9,C4;D6,D9,D8,DJ;SA,HJ,H10,C10;SK,H8,H9,CJ;H7,DA,H3,CQ;H5,D10,H2,H4;D7,S10,DK,HK;DQ,S7,SJ,H6"
1571996520,2,17,2,"CA,CK,CJ,C2;S7,S2,S4,S6;S8,S3,S10,S9;C4,C7,C3,C6;SQ,S5,SA,SJ;D3,D8,D5,D2;D4,D9,HQ,D6;D7,DJ,HJ,D10;SK,DA,H10,DQ;H2,H3,H6,H4;CQ,HA,C5,C8;H8,H7,H5,DK;HK,H9,C9,C10"
1571996520,2,5,2,"CA,CJ,C2,CQ;S3,S4,S2,S10;CK,C4,C6,C3;S5,S6,HK,SK;C10,SQ,C8,C5;D9,D4,D2,D7;DQ,DA,D3,D8;S8,S7,H9,H10;H4,H2,H8,H3;HA,SA,C9,C7;HQ,HJ,D5,DJ;H7,SJ,D6,DK;H5,S9,D10,H6"
1571996520,2,11,2,"C2,C9,CA,CQ;S2,SK,S3,S5;C4,C5,C3,C10;S4,HA,S8,S6;SQ,C6,C8,CJ;DA,D3,D2,D4;D7,D5,D8,D10;S10,H7,SA,S7;HJ,C7,CK,HK;DK,D6,D9,H8;H3,H2,H10,H6;H9,DQ,DJ,SJ;H5,H4,HQ,S9"
1571996520,2,0,2,"C7,C2,C6,CK;S3,S8,S2,S6;S7,SJ,S4,S10;C3,C9,C5,C8;C4,CA,SA,C10;D3,D8,D2,SQ;D5,D10,D4,SK;D7,DQ,D6,HA;H6,H2,H3,H4;DK,HQ,D9,HK;DA,H10,DJ,H9;H7,H5,S9,CQ;HJ,H8,S5,CJ"
