1571996514,0,7,0,"CQ,C10,C2,CA;S2,S8,S3,S4;S6,SJ,S7,S5;C4,C9,C3,C6;D2,D4,SQ,D6;D3,D5,SK,D8;D7,DJ,HA,D9;D10,DQ,H9,HK;DA,DK,H8,HQ;S10,HJ,H5,S9;SA,H10,H4,H2;C5,H7,C7,CJ;H3,H6,C8,CK"
1571996514,0,4,0,"C2,CA,C4,CK;S4,S5,S2,S3;S7,S6,SQ,S9;C5,SA,C3,C6;C7,SK,H7,C8;C10,H10,H5,C9;CQ,H8,H4,CJ;D3,DK,D2,D4;D6,D9,D5,D10;HA,H6,D7,DJ;HK,SJ,D8,DQ;H2,S10,H3,H9;HJ,S8,DA,HQ"
1571996514,0,5,0,"CK,C10,C6,C2;S2,SK,S5,S3;C8,C7,C3,C4;S4,HJ,S7,S6;SJ,H10,S10,S8;D3,DA,D5,D2;SQ,C9,HK,C5;D4,D6,D8,SA;DJ,D7,D10,H6;DK,D9,DQ,CA;H2,H3,H5,CQ;H8,H4,H9,CJ;HA,H7,HQ,S9"
1571996514,0,14,0,"CA,CQ,CK,C2;S4,S2,S6,S7;SJ,S3,SK,S8;C3,C7,C10,C4;D3,D2,D4,DJ;SQ,S5,H10,S9;D5,D8,D6,HJ;HK,D10,D7,H7;HQ,DQ,D9,H5;H9,DA,DK,H2;CJ,SA,H8,S10;C8,H4,H3,C9;C5,HA,H6,C6"
1571996514,0,2,0,"C9,CA,CK,C2;S2,S5,S4,S3;SJ,S8,S6,S9;C3,C7,C10,C4;H10,HK,S7,S10;C6,CJ,SQ,C5;D5,D2,DQ,D3;D8,D4,D7,SK;DK,D6,D10,HA;DA,D9,SA,HJ;H4,HQ,H2,H8;H6,DJ,H7,CQ;H5,H9,H3,C8"
1571996514,0,4,0,"C2,CA,C10,CK;S2,S6,S5,S4;C6,C3,C4,C9;S3,SQ,S7,S8;D2,D9,D3,D6;D4,D10,D5,DK;D7,HA,D8,DA;H10,H9,S9,S10;H7,H8,SJ,SK;C8,C5,SA,CQ;H6,H2,H3,H5;DJ,H4,DQ,HK;CJ,C7,HJ,HQ"
1571996514,0,6,0,"CA,C2,CJ,CQ;S4,S5,S2,S7;SJ,S6,S3,S8;C9,C3,C5,C4;D3,D6,D2,D8;SK,SQ,SA,S9;D7,DQ,D4,HK;HA,C7,H8,C6;HQ,C10,H2,C8;H7,CK,DA,H10;H5,H3,DK,H4;D9,HJ,D5,H9;DJ,H6,D10,S10"
1571996514,0,1,0,"CA,CQ,C6,C2;S3,S2,S9,S4;D10,D4,D2,D6;S10,S5,HJ,S6;C3,C7,H9,SA;HQ,S8,H8,S7;H3,SJ,H4,SK;CK,D8,D3,D9;CJ,DJ,D5,DK;C10,H10,H2,H5;C4,C9,DA,HA;C8,SQ,DQ,H7;C5,HK,D7,H6"
1571996514,0,7,0,"C2,CJ,CA,CQ;S4,S9,S2,S5;C6,C4,C5,C3;S8,HK,S3,S6;S10,H8,S7,SK;C8,C10,C7,C9;D4,D7,D2,D10;SJ,H6,H10,SA;H9,H3,H4,H2;CK,H5,DK,HA;D6,D8,D3,HQ;D9,DQ,D5,HJ;SQ,DA,DJ,H7"
1571996514,0,7,0,"C9,CK,C2,CA;C5,C3,C7,C4;S5,S2,S9,SA;DA,D3,D2,D4;S6,S3,SJ,HA;C6,H10,C10,HJ;C8,H4,CJ,H9;SQ,DJ,CQ,H6;D7,D6,D8,D5;DQ,D10,DK,D9;HK,S10,H7,H2;S8,S4,HQ,H5;SK,S7,H8,H3"
1571996514,0,1,0,"C7,CQ,CK,C2;S2,S6,S3,S10;SQ,C4,C3,C6;SA,C8,C5,CA;D3,D5,D8,D2;S4,S7,S5,HQ;SK,C9,C10,HJ;SJ,S8,S9,H10;D4,D9,HK,D6;D7,D10,H5,DJ;H4,H9,H2,H6;DQ,DA,H3,H8;DK,HA,CJ,H7"
1571996514,0,0,0,"C10,C9,CA,C2;S5,S2,S7,S4;S6,S3,S10,S9;C3,SA,C7,C5;C4,H9,C8,CJ;C6,H8,SQ,CQ;HA,H5,SK,CK;D4,D2,D10,D5;H3,H2,H6,H4;D9,DQ,H7,HQ;D6,D3,HK,DJ;D8,D7,HJ,DK;SJ,S8,H10,DA"
1571996514,0,0,0,"CK,C2,CA,CJ;S3,S5,S2,S9;C8,C10,C5,C3;SK,CQ,C9,C4;D3,D4,DA,D2;S4,SA,S6,SQ;D6,D5,D7,D10;HQ,D9,D8,DJ;H10,HJ,H3,C6;H9,H8,H2,C7;H5,H4,DQ,H7;SJ,H6,S8,HK;S10,DK,S7,HA"
1571996514,0,17,0,"CK,CQ,CA,C2;S2,S4,S3,S7;S5,S6,S8,S10;C5,C4,C8,C3;SQ,SJ,S9,H5;D5,D9,D2,D3;SA,D7,D4,D6;HK,SK,HA,DA;C6,C10,HJ,C7;H7,H2,H6,DQ;C9,H9,H8,CJ;HQ,H4,DJ,D8;H10,H3,DK,D10"
1571996514,0,3,0,"CK,CA,CQ,C2;S4,S2,SK,S3;D2,D4,D3,DA;S6,S5,HA,S7;HQ,S10,HK,S8;HJ,SJ,H7,S9;C7,C6,H6,C3;C9,SA,H3,C4;C10,H10,D9,C5;D10,DQ,D5,DK;H9,H5,D8,C8;H8,H4,D7,CJ;DJ,H2,D6,SQ"
1571996514,0,7,0,"C2,CK,C9,CA;S2,S4,S5,S7;S3,SQ,S6,S9;D8,D5,D3,D2;C4,CQ,C3,C5;DJ,DK,D7,D4;C10,C8,C6,CJ;DQ,HA,D10,D6;DA,HQ,SK,D9;SA,H8,S8,SJ;H7,H2,H5,H3;H9,H4,C7,HJ;H10,H6,S10,HK"
1571996514,0,11,0,"CK,C2,C8,CJ;S3,S2,S4,S10;C6,C4,SA,C3;S7,S6,S5,HJ;S8,S9,SK,H7;D4,DJ,D2,D3;C7,C5,HK,C9;D6,SQ,D9,D5;DQ,H9,D10,D7;SJ,H8,H10,H6;CQ,C10,H3,H5;HQ,H2,DA,H4;HA,CA,DK,D8"
1571996514,0,0,0,"CJ,CK,CA,C2;H9,S2,S5,S3;H5,S8,S6,S4;H2,S9,S7,S10;DA,HK,H7,SJ;D4,D5,D2,D3;C3,C4,C6,SQ;C5,CQ,C9,SA;D6,DK,D7,D9;D8,H8,H4,H3;C10,H10,H6,HA;C8,HQ,DJ,D10;C7,HJ,DQ,SK"
1571996514,0,10,0,"CQ,CJ,C2,C6;S2,S4,H6,S3;S8,S5,H4,S6;S9,S10,DK,S7;HA,SJ,DQ,SQ;D3,D5,D2,D4;D9,DA,D6,D8;HK,SA,D7,SK;C7,C5,C3,HJ;C9,HQ,C4,H9;C10,H8,C8,H2;H7,H3,CA,DJ;H10,H5,CK,D10"
1571996514,0,7,0,"CA,C7,CK,C2;S6,S5,S3,S2;S7,S10,S4,SK;C4,C6,C3,C9;C5,SQ,C8,C10;SA,H8,H10,CJ;HK,H7,H9,CQ;DA,D5,D4,D2;D8,D6,D9,D3;HJ,D7,D10,DQ;H6,H4,H3,H2;S9,H5,S8,HA;SJ,DJ,DK,HQ"
