1571999416,0,13,0,"CQ,CK,C2,CA;S3,S2,S10,S4;C5,C6,C3,C10;S5,S6,SA,S9;C9,SQ,C4,C7;DA,D2,D3,D7;S8,S7,HJ,SJ;HK,SK,CJ,C8;HQ,D5,D4,D9;H10,D6,D10,DQ;H9,D8,DJ,DK;H2,H5,H3,H7;H4,HA,H6,H8"
1571999416,0,8,0,"CA,CK,C10,C2;S7,S5,S2,SQ;C4,C6,C8,C3;D2,D9,D3,D4;D6,DJ,D5,D7;HK,S8,S3,SA;CJ,C7,HJ,C5;CQ,C9,H8,H7;D8,SK,SJ,DQ;D10,HA,S10,DK;H3,H6,S9,H2;HQ,H9,S6,H4;DA,H10,S4,H5"
1571999416,0,4,0,"CA,CJ,CQ,C2;S10,S7,S4,S2;C8,C4,C5,C3;CK,C9,C7,C6;D3,D2,D6,D4;SA,S8,S5,S3;D5,D7,D8,D10;H9,SQ,S6,S9;H6,H2,H3,H5;D9,HA,DQ,DA;H8,HQ,SK,SJ;DK,H7,C10,HJ;DJ,H4,HK,H10"
1571999416,0,5,0,"CA,C2,CK,C5;C4,C7,C3,SQ;D3,D2,D5,D9;D4,HA,D6,D10;D8,HJ,D7,DJ;DQ,H3,HQ,DA;SA,S2,S4,S5;DK,H2,H5,SK;CQ,C9,C6,H10;H6,CJ,C10,H4;H7,SJ,C8,H8;HK,S3,S8,S6;H9,S10,S9,S7"
1571999416,0,0,0,"C6,C2,C4,CA;H10,C7,C3,C5;S5,S2,S6,SK;H5,C8,HQ,C9;DA,C10,H8,CJ;DK,CK,H6,CQ;S7,S3,S8,HA;S9,S4,S10,HJ;D3,D2,D5,DQ;D4,SQ,D6,D7;D9,SA,D10,D8;DJ,H9,H2,H4;SJ,HK,H3,H7"
1571999416,0,1,0,"CK,CA,C2,C10;S2,S5,S4,S3;S8,S9,S7,S6;C3,C4,CQ,C5;HQ,SA,S10,SJ;CJ,C7,C9,C6;D6,D2,D3,D7;H8,HA,SK,C8;H7,HJ,H10,SQ;H2,H5,DQ,H3;D8,D4,D5,HK;D9,DK,D10,H9;H6,DA,DJ,H4"
1571999416,0,3,0,"C9,CK,CJ,C2;S8,S3,S2,S5;D4,D2,D7,D8;SQ,SK,S4,S6;D6,D3,H8,SA;D9,D5,H7,H10;D10,DQ,H6,H4;HQ,C4,C8,C3;H9,HA,S9,S7;H2,HK,SJ,S10;DA,C6,C10,C5;DK,HJ,H3,CA;DJ,CQ,H5,C7"
1571999416,0,14,0,"C9,CJ,C2,C6;C7,C3,C5,SQ;D2,D3,DJ,D6;S3,SK,S6,S2;SA,C4,C8,H2;H8,HA,C10,DK;H7,HK,CQ,D10;H4,HQ,CK,SJ;DA,HJ,CA,S9;DQ,H6,H3,S8;D5,D4,H10,S7;D7,D8,H9,S5;S10,D9,H5,S4"
1571999416,0,0,0,"CA,C2,CK,C8;S6,S3,S8,S2;S7,S4,S10,S5;C4,C3,C7,C6;C5,CQ,C9,SK;D2,D5,DA,D3;C10,SQ,CJ,HA;D4,D8,D10,D6;DK,DJ,DQ,D7;H2,H10,H4,HJ;H9,SA,H8,D9;H5,HK,H7,S9;H3,HQ,H6,SJ"
1571999416,0,15,0,"CA,C2,CK,CJ;SJ,S4,S3,S2;CQ,C6,C4,C3;D2,D3,D4,D7;SQ,HK,S6,S5;D5,D8,DQ,D9;SA,HJ,S8,S7;D6,D10,H9,SK;DJ,DK,H3,HA;HQ,C9,C5,C8;H5,C10,C7,H8;H2,H7,S10,H4;DA,H10,S9,H6"
1571999416,0,14,0,"C7,C9,C2,CQ;S7,S4,S3,S2;S8,S5,HK,S9;SQ,S6,HJ,S10;C3,HA,C4,C5;SK,H9,C8,C6;D8,D2,D3,D4;DJ,D5,D6,DQ;DK,D7,D10,DA;H10,SJ,H5,SA;H7,H8,CJ,C10;H4,H6,CK,HQ;H2,D9,CA,H3"
1571999416,0,2,0,"CA,CQ,CK,C2;S2,S4,S5,S3;SQ,SK,S8,S6;C3,C9,C5,C4;D6,D4,D2,D7;D9,D10,D3,DA;H8,HA,S9,S7;DQ,DJ,D5,SA;DK,HQ,D8,HK;C6,HJ,C7,CJ;H7,H10,H6,S10;H2,H9,H4,SJ;C8,H5,C10,H3"
