1571999055,0,3,3,"C2,CK,C5,C10;S2,S4,S3,S5;S8,S7,S6,S10;CA,C3,C4,C6;S9,SQ,HA,SA;H10,C7,HQ,C8;D4,D7,D2,D8;D5,SK,D3,D9;D6,H8,DJ,D10;DA,H7,DK,DQ;SJ,CQ,H9,HK;H2,CJ,H3,H5;H6,C9,H4,HJ"
1571999055,0,25,3,"CJ,C2,CQ,CK;S7,S5,S2,S4;S10,SK,S3,SA;C4,C3,HK,C5;C9,C8,H10,C6;D7,D4,D6,D2;DQ,D5,H9,D3;DK,D10,H8,D8;SQ,HQ,S6,H4;H6,H3,H2,DJ;H7,H5,SJ,D9;HJ,DA,S9,C10;HA,CA,S8,C7"
1571999055,0,15,3,"CA,CK,C2,CJ;S3,S2,S4,SK;D4,D2,D7,D6;S8,S6,S5,SA;D5,D3,D8,D9;DK,H8,SQ,D10;SJ,S10,S7,HA;C4,C3,C5,H9;H10,H6,S9,H7;H2,H3,H5,H4;C10,CQ,HJ,DA;C9,C7,HQ,DQ;C8,C6,HK,DJ"
1571999055,0,2,3,"CA,CK,CQ,C2;S3,S2,S5,S4;HJ,S6,S7,S8;C6,C5,C8,C3;H9,S9,S10,H8;H4,SK,SJ,H7;C7,C10,C9,C4;D5,D2,DQ,D4;H2,HA,SA,H3;DA,H10,SQ,DK;D10,H6,H5,DJ;D9,D3,HK,D6;CJ,D7,HQ,D8"
1571999055,0,5,3,"C2,CA,C9,CK;S8,S3,S2,SQ;C6,C7,C4,C3;C10,C8,SA,C5;CJ,H6,HQ,CQ;DK,D2,D5,D3;D8,D6,DA,D4;S10,S6,S4,H10;D10,D7,HJ,D9;SK,S9,S5,H8;H4,H3,H2,H5;HA,DJ,H9,DQ;HK,SJ,S7,H7"
1571999055,0,1,3,"C7,CK,CA,C2;S2,S5,S4,S3;SQ,C5,C3,C4;D3,D5,D2,D4;DA,D9,D6,DJ;S9,H8,S6,S7;S10,H7,S8,SJ;SA,D10,D7,DQ;SK,C6,C8,C9;HA,C10,H10,CJ;H2,H3,H6,H4;HJ,H5,D8,HK;H9,CQ,DK,HQ"
1571999055,0,14,3,"CQ,C9,CK,C2;S9,S6,S2,S7;D2,D3,D5,D4;SQ,S10,S3,HA;D6,D8,HK,D7;D9,DQ,HQ,D10;H9,SJ,S4,HJ;H8,SK,S5,H10;H7,SA,S8,H2;H5,C3,C5,C4;H4,C7,C6,C8;DJ,H6,CJ,DK;DA,H3,C10,CA"
1571999055,0,0,3,"C10,C2,CA,CK;S3,S7,S2,SK;C5,C7,C4,C3;S9,S8,S4,SA;HK,SQ,C8,C6;D3,D5,D2,D4;H7,S10,S5,HQ;H5,SJ,S6,H4;H3,H2,H9,DQ;D6,HA,DK,D8;DA,HJ,CJ,C9;DJ,H8,CQ,D10;D7,H6,H10,D9"
1571999055,0,3,3,"CA,C2,C5,CK;S3,S2,S6,S7;S4,S8,S9,S10;S5,SQ,SA,SJ;C9,C4,C3,C6;CQ,C7,HA,C10;D8,D2,D3,D4;D9,D6,D5,SK;D10,DK,D7,HK;H10,C8,H9,HJ;H4,CJ,H7,H8;DA,H3,H5,H2;DQ,HQ,DJ,H6"
1571999055,0,15,3,"C2,CK,CQ,CA;S2,S9,S4,S6;C6,C3,SK,C5;S3,SA,S5,S10;C8,C4,H8,C9;SQ,HA,S7,SJ;CJ,C7,H7,C10;D9,D2,D6,D5;DK,D3,D8,D7;H2,H9,H3,H10;H6,D4,DQ,DJ;H5,D10,DA,HK;H4,HJ,S8,HQ"
1571999055,0,0,3,"CK,C7,CA,C2;S5,S3,S10,S2;C10,C3,C6,C8;S6,S4,SQ,S7;D3,D4,D9,D2;SA,S9,SK,S8;CQ,C4,C9,CJ;D8,D10,HA,D5;DJ,DK,HK,D6;H8,SJ,HQ,HJ;H3,C5,H9,H4;H2,H5,H6,DA;DQ,H10,H7,D7"
1571999055,0,24,3,"CQ,C2,CA,CJ;S4,S3,S2,S5;S7,S6,SJ,S9;C6,C5,C4,C3;C9,C8,HA,C7;D2,D4,D8,D3;D7,D6,DJ,D5;D9,SK,DK,D10;DQ,H3,DA,HK;H5,CK,H4,H2;SA,S8,H10,HQ;SQ,S10,H9,H8;HJ,C10,H7,H6"
1571999055,0,14,3,"CA,C2,CQ,CK;S8,S9,S2,S10;C5,C4,SQ,C3;CJ,C6,HK,C8;D6,D2,DQ,D3;D7,D4,DK,D10;SJ,SK,S3,SA;H9,C7,H8,C9;H6,HQ,H3,C10;H2,H4,S7,H7;DA,H5,S6,H10;D9,DJ,S5,HJ;D8,D5,S4,HA"
1571999055,0,0,3,"C2,CJ,C9,CA;S10,S5,S2,S4;C7,C4,C6,C3;C8,C5,SA,CQ;HK,SJ,S3,S8;D2,D5,D10,D3;HJ,H4,S6,SQ;D4,D6,SK,D7;C10,H3,H9,CK;H5,DK,H2,H7;H8,DQ,H6,H10;DA,DJ,S9,HQ;D9,D8,S7,HA"
1571999055,0,26,3,"CK,C4,C2,CQ;S4,S2,S9,S5;S6,S3,S10,S8;C5,HA,C9,C3;C7,HQ,C10,C6;C8,H7,CJ,SQ;HK,H2,CA,SA;D3,D2,D6,D4;D7,D5,D10,SK;H10,D8,DJ,HJ;H9,D9,DK,H8;SJ,DA,H4,H3;S7,DQ,H6,H5"
1571999055,0,0,3,"CA,CJ,C9,C2;S5,S4,S2,S8;C3,C4,C6,C8;CK,C5,C7,CQ;S6,SJ,S3,SQ;D2,D8,DK,D3;S10,SA,S7,HK;SK,C10,HA,H9;D4,D10,H10,D6;D5,DA,H6,D9;H5,H2,H3,H7;D7,HQ,H4,DJ;DQ,HJ,S9,H8"
1571999055,0,6,3,"CK,C2,C9,CA;S7,S6,S2,S4;S8,SQ,S3,SA;CJ,C3,C7,C4;C10,C5,C8,CQ;D5,D3,DJ,D2;D6,D4,DA,DQ;S10,H9,S5,HJ;D7,D8,SK,DK;H3,H6,H7,H2;SJ,D10,S9,H8;H10,D9,HQ,H4;HA,C6,HK,H5"
1571999055,0,0,3,"C2,CA,C8,CJ;S3,S2,S8,S6;S4,S9,SJ,S7;C4,C9,C3,C6;S5,S10,SQ,HJ;C10,CQ,C5,C7;HQ,CK,SA,H9;D2,D10,D6,D3;D7,DJ,D9,D4;H2,H3,H7,DK;H10,HA,DA,D5;H6,HK,SK,DQ;H4,H5,H8,D8"
1571999055,0,0,3,"C2,CK,C8,CJ;S3,S4,S2,S7;S9,S6,S5,S10;C6,CQ,C4,C3;SK,S8,HK,SQ;D8,D2,D4,D6;DJ,D3,D7,D9;C10,SA,C5,C7;CA,H5,HQ,C9;H9,H2,H3,H4;H10,DQ,H6,H8;HJ,D5,H7,DK;HA,SJ,DA,D10"
1571999055,0,1,3,"CQ,CJ,C2,CA;S6,S2,S7,S3;SQ,C8,C4,C3;HK,C9,C7,C5;HQ,C10,CK,C6;D3,D4,D6,D2;D10,D7,DJ,D5;DK,D8,DQ,DA;S9,S8,HJ,S4;SJ,SK,H10,S5;H8,D9,H7,HA;H5,SA,H6,S10;H4,H2,H3,H9"
1571999055,0,0,3,"CJ,CA,CK,C2;S3,S6,S2,S5;S4,S7,HK,S9;S8,SJ,HJ,S10;C4,C5,C3,C7;SQ,C6,C10,C8;HA,SK,CQ,C9;D4,D7,D2,D5;DJ,D8,D3,D6;H3,H5,H2,H8;HQ,D9,D10,DQ;H6,H10,DK,DA;H4,H9,H7,SA"
1571999055,0,0,3,"CK,C4,C2,CQ;S6,S2,S5,S3;SJ,S7,SK,S4;C5,C3,C10,C8;C6,SQ,CJ,C9;C7,HK,CA,HA;D4,D3,D2,DA;D7,D6,D8,D5;D9,D10,DJ,H9;H10,S8,SA,S9;H4,H5,H2,H3;DQ,DK,HQ,H8;H7,H6,HJ,S10"
1571999055,0,8,3,"CA,CQ,C2,C3;S9,S7,S2,S3;C5,C10,C4,SQ;D6,D9,D3,D2;D8,DJ,D5,D4;HK,S8,SA,S4;D10,SK,D7,DQ;H7,HQ,DA,DK;C7,HJ,C6,H5;C9,H10,C8,H4;CJ,H9,HA,S10;CK,H2,H8,S6;H3,SJ,H6,S5"
1571999055,0,0,3,"C6,CA,CK,C2;S5,S9,SJ,S2;SQ,C3,C4,C5;D3,D6,DJ,D2;D4,D7,DK,HQ;D5,D8,DA,H10;HK,C9,C8,C7;D9,DQ,HA,H9;S6,SK,HJ,S3;S10,SA,H6,S4;H8,CQ,C10,H3;H2,H5,H4,S8;D10,H7,CJ,S7"
1571999055,0,16,3,"C10,C2,C6,CJ;S4,S3,S5,S2;SQ,HQ,S6,S7;D10,D2,D9,D3;DQ,D6,DA,D4;SK,H5,S8,S9;DK,D8,HK,D5;C3,CA,C5,C7;H10,DJ,H9,D7;C4,C9,H8,SA;C8,CQ,H6,HA;H7,CK,H2,HJ;H3,H4,SJ,S10"
