1571996507,0,1,2,"C5,C2,CA,CK;S2,S4,S10,S3;SA,S5,SJ,S6;C4,CQ,C6,C3;HA,C7,C8,C10;H9,SQ,SK,S7;D7,D2,D4,DK;DA,D3,D6,D9;D10,D5,D8,H10;DJ,HK,DQ,H3;H2,H8,H4,CJ;H7,C9,HQ,S9;H6,HJ,H5,S8"
1571996507,0,17,2,"CA,C8,C9,C2;S3,S7,S2,S4;S5,SJ,S6,S10;D6,D3,D2,D9;C6,SQ,C4,C3;C7,HA,H7,C5;CJ,H8,H5,C10;CQ,H6,DK,CK;HK,D4,D5,DQ;HJ,H3,S8,SK;H10,DA,S9,SA;H2,DJ,D10,H9;H4,D8,D7,HQ"
1571996507,0,3,2,"C2,CK,C9,CQ;S9,S3,S5,S2;S10,S4,S8,S7;C4,CJ,C3,C5;SQ,S6,SK,HQ;C10,C7,C6,H8;CA,C8,HK,H6;D6,D2,D3,D5;D10,D4,DQ,D7;H4,H9,H2,DA;HA,D8,H10,D9;HJ,SA,H5,DJ;H7,SJ,H3,DK"
1571996507,0,10,2,"CK,C2,CQ,CJ;S6,S3,S2,S10;C3,C6,C5,C7;C4,CA,C9,C10;S7,S4,SJ,SQ;DA,D6,D2,D4;DK,H10,D3,D8;SK,S5,HA,HJ;SA,S8,HK,H5;C8,H9,H6,H4;H2,H3,DQ,DJ;HQ,S9,D7,D10;H8,H7,D5,D9"
1571996507,0,26,2,"CA,C2,C10,CK;S2,S5,S3,S8;SK,C3,C4,C5;H9,C8,C6,C7;H3,C9,SQ,SA;D2,D8,D7,D3;D9,DQ,D10,D4;H2,CJ,HA,HQ;SJ,CQ,HJ,H5;S10,H6,H4,DK;S9,H8,H7,DJ;S7,H10,DA,D6;S4,HK,S6,D5"
1571996507,0,2,2,"C2,DQ,CK,CJ;S9,S2,S4,S3;C8,HA,C3,C4;CA,H9,C7,C5;D2,DJ,D4,D5;SK,S8,S5,S7;D3,D6,DA,D8;HK,S10,S6,HQ;H10,SJ,SQ,HJ;H4,H8,SA,H6;D10,H7,C9,C6;D9,H3,C10,H5;D7,H2,CQ,DK"
1571996507,0,5,2,"CQ,CJ,CA,C2;S2,SJ,S6,S3;C3,C6,C5,C4;C7,C9,SQ,CK;D2,D4,D3,DJ;D6,D5,D7,DQ;S9,HK,SK,S4;SA,D9,D8,HQ;C8,C10,HA,HJ;H7,D10,DK,H8;H4,H3,H2,S8;S10,H5,H10,S5;H6,DA,H9,S7"
1571996507,0,14,2,"C2,CK,CA,C3;S5,S2,S8,S3;S6,S4,S10,S7;HA,SK,SJ,S9;C9,C7,C4,SQ;C10,C8,C5,HJ;D5,D3,D2,D4;D10,D6,D8,D7;DJ,DA,D9,DQ;HQ,SA,H9,H8;H10,CQ,C6,H5;H3,H6,H4,H2;H7,HK,CJ,DK"
1571996507,0,4,2,"C6,C2,CK,CA;S2,S6,S3,S7;S4,SQ,S5,S9;D3,DJ,D5,D2;C4,C7,C3,C5;SA,C8,CJ,CQ;D4,HA,D7,D6;D9,H9,D10,D8;HK,H8,DK,DQ;HQ,H7,DA,SK;H5,H2,H3,H4;S8,C10,HJ,S10;H6,C9,H10,SJ"
1571996507,0,0,2,"CJ,CK,CA,C2;S9,S3,S5,S2;S10,S4,SK,S8;HA,C4,C3,C5;HQ,CQ,C10,C6;H10,S6,HK,SA;H7,SQ,H8,C7;D3,D4,D2,DJ;D5,D6,D9,DQ;H6,H9,H3,C8;H5,H2,DA,C9;D8,SJ,DK,H4;D7,S7,D10,HJ"
